candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Порошенко Петро Олексійович,Полтавська,Poltavska,54.55,1,761748
Порошенко Петро Олексійович,Волинська,Volynska,52.41,1,581796
Порошенко Петро Олексійович,Кіровоградська,Kirovohradska,50.96,1,467755
Порошенко Петро Олексійович,Херсонська,Khersonska,48.71,1,439332
Порошенко Петро Олексійович,Миколаївська,Mykolaivska,45.97,1,472522
Порошенко Петро Олексійович,Чернігівська,Chernihivska,44.81,1,557295
Порошенко Петро Олексійович,Дніпропетровська,Dnipropetrovska,44.72,1,1465139
Порошенко Петро Олексійович,Одеська,Odeska,41.78,1,836659
Порошенко Петро Олексійович,Запорізька,Zaporizka,38.15,1,735764
Порошенко Петро Олексійович,Донецька,Donetska,36.15,1,115823
Порошенко Петро Олексійович,Харківська,Kharkivska,35.28,1,1033847
Порошенко Петро Олексійович,Луганська,Luhanska,33.17,1,52239
Рабінович Вадим Зіновійович,Запорізька,Zaporizka,6.97,4,735764
Рабінович Вадим Зіновійович,Одеська,Odeska,6.18,4,836659
Рабінович Вадим Зіновійович,Луганська,Luhanska,5.89,6,52239
Рабінович Вадим Зіновійович,Донецька,Donetska,5.53,5,115823
Рабінович Вадим Зіновійович,Миколаївська,Mykolaivska,5.49,4,472522
Рабінович Вадим Зіновійович,Дніпропетровська,Dnipropetrovska,5.15,6,1465139
Рабінович Вадим Зіновійович,Харківська,Kharkivska,3.82,7,1033847
Рабінович Вадим Зіновійович,Херсонська,Khersonska,3.49,6,439332
Рабінович Вадим Зіновійович,Кіровоградська,Kirovohradska,2.03,6,467755
Рабінович Вадим Зіновійович,Полтавська,Poltavska,1.92,7,761748
Рабінович Вадим Зіновійович,Сумська,Sumska,1.81,7,570645
Рабінович Вадим Зіновійович,м.Київ,Kyiv,1.6,7,1380012
Рабінович Вадим Зіновійович,Закарпатська,Zakarpatska,1.52,7,486273
Рабінович Вадим Зіновійович,Чернігівська,Chernihivska,1.5,6,557295
Рабінович Вадим Зіновійович,Житомирська,Zhytomyrska,1.36,7,659335
Рабінович Вадим Зіновійович,Черкаська,Cherkaska,1.19,8,673734
Рабінович Вадим Зіновійович,Київська,Kyivska,1.14,7,996046
Рабінович Вадим Зіновійович,Чернівецька,Chernivetska,1.09,8,431758
Рабінович Вадим Зіновійович,Хмельницька,Khmelnytska,0.87,8,728864
Рабінович Вадим Зіновійович,Вінницька,Vinnytska,0.85,7,895219
Рабінович Вадим Зіновійович,Рівненська,Rivnenska,0.76,8,614771
Рабінович Вадим Зіновійович,Волинська,Volynska,0.56,8,581796
Рабінович Вадим Зіновійович,Львівська,Lvivska,0.34,10,1544016
Рабінович Вадим Зіновійович,Івано-Франківська,Ivano-Frankivska,0.28,10,796008
Рабінович Вадим Зіновійович,Тернопільська,Ternopilska,0.24,10,650087
Саранов Володимир Георгійович,Луганська,Luhanska,0.1,19,52239
Саранов Володимир Георгійович,Запорізька,Zaporizka,0.07,19,735764
Саранов Володимир Георгійович,Одеська,Odeska,0.07,20,836659
Саранов Володимир Георгійович,Херсонська,Khersonska,0.07,19,439332
Саранов Володимир Георгійович,Дніпропетровська,Dnipropetrovska,0.06,20,1465139
Саранов Володимир Георгійович,Миколаївська,Mykolaivska,0.06,20,472522
Саранов Володимир Георгійович,Донецька,Donetska,0.06,20,115823
Саранов Володимир Георгійович,Харківська,Kharkivska,0.04,20,1033847
Саранов Володимир Георгійович,Полтавська,Poltavska,0.03,21,761748
Саранов Володимир Георгійович,Сумська,Sumska,0.03,19,570645
Саранов Володимир Георгійович,Закарпатська,Zakarpatska,0.03,21,486273
Саранов Володимир Георгійович,м.Київ,Kyiv,0.03,19,1380012
Саранов Володимир Георгійович,Житомирська,Zhytomyrska,0.03,19,659335
Саранов Володимир Георгійович,Кіровоградська,Kirovohradska,0.03,21,467755
Саранов Володимир Георгійович,Черкаська,Cherkaska,0.02,20,673734
Саранов Володимир Георгійович,Київська,Kyivska,0.02,20,996046
Саранов Володимир Георгійович,Хмельницька,Khmelnytska,0.02,20,728864
Саранов Володимир Георгійович,Чернівецька,Chernivetska,0.02,20,431758
Саранов Володимир Георгійович,Чернігівська,Chernihivska,0.02,20,557295
Саранов Володимир Георгійович,Вінницька,Vinnytska,0.01,20,895219
Саранов Володимир Георгійович,Волинська,Volynska,0.01,21,581796
Саранов Володимир Георгійович,Рівненська,Rivnenska,0.01,21,614771
Саранов Володимир Георгійович,Львівська,Lvivska,0.0,20,1544016
Саранов Володимир Георгійович,Івано-Франківська,Ivano-Frankivska,0.0,21,796008
Саранов Володимир Георгійович,Тернопільська,Ternopilska,0.0,20,650087
Симоненко Петро Миколайович,Луганська,Luhanska,5.43,7,52239
Симоненко Петро Миколайович,Донецька,Donetska,4.34,6,115823
Симоненко Петро Миколайович,Запорізька,Zaporizka,4.15,8,735764
Симоненко Петро Миколайович,Одеська,Odeska,3.83,6,836659
Симоненко Петро Миколайович,Миколаївська,Mykolaivska,3.72,8,472522
Симоненко Петро Миколайович,Херсонська,Khersonska,3.41,7,439332
Симоненко Петро Миколайович,Дніпропетровська,Dnipropetrovska,3.22,8,1465139
Симоненко Петро Миколайович,Харківська,Kharkivska,2.65,8,1033847
Симоненко Петро Миколайович,Сумська,Sumska,1.64,8,570645
Симоненко Петро Миколайович,Кіровоградська,Kirovohradska,1.5,8,467755
Симоненко Петро Миколайович,Полтавська,Poltavska,1.38,8,761748
Симоненко Петро Миколайович,Чернігівська,Chernihivska,1.3,8,557295
Симоненко Петро Миколайович,Житомирська,Zhytomyrska,1.21,8,659335
Симоненко Петро Миколайович,м.Київ,Kyiv,0.78,10,1380012
Симоненко Петро Миколайович,Черкаська,Cherkaska,0.78,9,673734
Симоненко Петро Миколайович,Хмельницька,Khmelnytska,0.77,9,728864
Симоненко Петро Миколайович,Чернівецька,Chernivetska,0.75,9,431758
Симоненко Петро Миколайович,Вінницька,Vinnytska,0.64,9,895219
Симоненко Петро Миколайович,Київська,Kyivska,0.6,10,996046
Симоненко Петро Миколайович,Рівненська,Rivnenska,0.56,10,614771
Симоненко Петро Миколайович,Закарпатська,Zakarpatska,0.56,11,486273
Симоненко Петро Миколайович,Волинська,Volynska,0.47,11,581796
Симоненко Петро Миколайович,Львівська,Lvivska,0.22,11,1544016
Симоненко Петро Миколайович,Івано-Франківська,Ivano-Frankivska,0.19,11,796008
Симоненко Петро Миколайович,Тернопільська,Ternopilska,0.17,11,650087
Тігіпко Сергій Леонідович,Донецька,Donetska,19.66,2,115823
