candidate,region,region_eng,percent_votes,rating,num_voters_per_region
Пабат О.В,Вінницька,Vinnytska,0.1,16,899734
Пабат О.В,Рівненська,Rivnenska,0.09,15,623112
Пабат О.В,Дніпропетровська,Dnipropetrovska,0.09,13,1833458
Пабат О.В,Закарпатська,Zakarpatska,0.08,17,540736
Пабат О.В,Волинська,Volynska,0.07,16,586568
Пабат О.В,Чернівецька,Chernivetska,0.06,17,434568
Пабат О.В,Луганська,Luhanska,0.05,13,1313664
Пабат О.В,Донецька,Donetska,0.04,13,2439002
Пабат О.В,Тернопільська,Ternopilska,0.04,17,646679
Пабат О.В,Львівська,Lvivska,0.03,16,1475124
Пабат О.В,Івано-Франківська,Ivano-Frankivska,0.03,16,774146
Противсіх В.В,Закарпатська,Zakarpatska,0.31,12,540736
Противсіх В.В,Івано-Франківська,Ivano-Frankivska,0.27,12,774146
Противсіх В.В,Вінницька,Vinnytska,0.27,12,899734
Противсіх В.В,Полтавська,Poltavska,0.26,14,803708
Противсіх В.В,Рівненська,Rivnenska,0.25,12,623112
Противсіх В.В,Чернівецька,Chernivetska,0.24,13,434568
Противсіх В.В,Черкаська,Cherkaska,0.24,13,681265
Противсіх В.В,Хмельницька,Khmelnytska,0.24,13,748056
Противсіх В.В,Чернігівська,Chernihivska,0.23,14,602599
Противсіх В.В,Київська,Kyivska,0.22,13,944893
Противсіх В.В,Житомирська,Zhytomyrska,0.22,15,691123
Противсіх В.В,Сумська,Sumska,0.22,12,627338
Противсіх В.В,Волинська,Volynska,0.21,13,586568
Противсіх В.В,Кіровоградська,Kirovohradska,0.2,14,508754
Противсіх В.В,м.Київ,Kyiv,0.16,14,1430356
Противсіх В.В,Тернопільська,Ternopilska,0.16,13,646679
Противсіх В.В,Миколаївська,Mykolaivska,0.15,13,601126
Противсіх В.В,Херсонська,Khersonska,0.15,12,538431
Противсіх В.В,Львівська,Lvivska,0.12,13,1475124
Противсіх В.В,Дніпропетровська,Dnipropetrovska,0.12,12,1833458
Противсіх В.В,Харківська,Kharkivska,0.1,14,1455120
Противсіх В.В,Запорізька,Zaporizka,0.1,13,1010500
Противсіх В.В,Авт.Респ. Крим,Avtonomna Respublika Krym,0.09,14,981922
Противсіх В.В,Луганська,Luhanska,0.09,12,1313664
Противсіх В.В,м.Севастополь,Sevastopilska,0.09,14,204145
Противсіх В.В,Одеська,Odeska,0.09,14,1160126
Противсіх В.В,Донецька,Donetska,0.06,12,2439002
Ратушняк С.М,Закарпатська,Zakarpatska,2.61,7,540736
Ратушняк С.М,Вінницька,Vinnytska,0.11,15,899734
Ратушняк С.М,Черкаська,Cherkaska,0.1,16,681265
Ратушняк С.М,Хмельницька,Khmelnytska,0.09,16,748056
Ратушняк С.М,Полтавська,Poltavska,0.09,16,803708
